choices,rts,winners
1.0,0.699,1
1.0,0.869,1
1.0,0.8009999999999999,1
1.0,0.891,1
0.0,0.49000000000000005,0
1.0,0.838,0
0.0,0.277,0
0.0,0.42100000000000004,0
0.0,0.268,0
0.0,0.47600000000000003,0
1.0,0.967,1
-1.0,0.585,0
1.0,0.738,1
1.0,0.884,0
1.0,0.999,1
1.0,0.8019999999999999,1
-1.0,0.531,0
0.0,0.321,0
0.0,0.42500000000000004,0
0.0,0.4,0
-1.0,0.689,1
-1.0,0.582,0
0.0,0.3,0
1.0,0.7839999999999999,1
1.0,1.012,0
1.0,0.6739999999999999,0
1.0,0.539,0
1.0,0.826,0
0.0,0.41700000000000004,0
1.0,0.6779999999999999,1
1.0,0.709,1
0.0,0.197,0
-1.0,0.7959999999999999,1
-1.0,1.05,1
1.0,0.597,0
1.0,0.894,1
1.0,0.729,1
1.0,0.6759999999999999,1
-1.0,0.826,0
1.0,0.89,1
0.0,0.307,0
0.0,0.257,0
-1.0,0.82,0
1.0,0.693,0
-1.0,0.62,0
1.0,0.753,0
-1.0,0.7929999999999999,1
1.0,0.734,1
-1.0,0.6649999999999999,1
1.0,0.9149999999999999,1
-1.0,0.813,1
0.0,0.396,0
1.0,0.871,1
1.0,0.584,0
1.0,0.746,1
1.0,0.6839999999999999,1
1.0,0.85,1
-1.0,0.865,1
1.0,0.6799999999999999,1
1.0,0.6779999999999999,0
1.0,0.696,0
0.0,0.41000000000000003,0
1.0,0.564,0
1.0,0.6779999999999999,1
1.0,0.647,0
1.0,0.772,1
-1.0,0.591,0
1.0,0.706,1
1.0,0.966,0
1.0,0.772,1
1.0,0.877,1
-1.0,0.551,0
0.0,0.22899999999999998,0
1.0,1.11,1
0.0,0.48900000000000005,0
0.0,0.47400000000000003,0
0.0,0.377,0
1.0,1.055,1
0.0,0.36600000000000005,0
-1.0,0.742,0
1.0,0.813,1
1.0,0.713,1
0.0,0.22000000000000003,0
0.0,0.456,0
-1.0,0.813,1
1.0,0.8049999999999999,0
1.0,0.8089999999999999,1
1.0,0.6749999999999999,1
0.0,0.259,0
1.0,0.703,1
0.0,0.41400000000000003,0
0.0,0.46,0
1.0,0.6599999999999999,0
0.0,0.271,0
0.0,0.192,0
0.0,0.402,0
1.0,0.951,1
1.0,0.615,0
0.0,0.512,0
1.0,0.644,0
0.0,0.22999999999999998,0
-1.0,0.59,0
1.0,1.0130000000000001,1
1.0,0.574,0
1.0,0.634,0
1.0,0.646,1
1.0,1.098,1
1.0,0.819,1
1.0,0.6629999999999999,0
1.0,0.71,1
1.0,0.855,1
1.0,0.824,1
-1.0,0.581,0
1.0,1.201,1
1.0,1.0870000000000002,1
1.0,0.6639999999999999,1
1.0,0.967,1
1.0,0.8109999999999999,1
1.0,0.6849999999999999,1
1.0,0.737,1
0.0,0.268,0
1.0,0.6869999999999999,0
1.0,0.688,1
1.0,0.7929999999999999,1
0.0,0.237,0
0.0,0.42800000000000005,0
1.0,0.905,1
1.0,0.65,1
0.0,0.238,0
1.0,0.908,1
0.0,0.48500000000000004,0
0.0,0.48500000000000004,0
-1.0,0.643,1
1.0,0.722,1
0.0,0.49000000000000005,0
-1.0,0.6629999999999999,1
1.0,0.9129999999999999,1
1.0,0.899,1
-1.0,0.531,0
0.0,0.388,0
