filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,save
aaa,-70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
baa,-10,70.19730236337014,67.94466886487304,66.97619194038529,66.9352034922752,67.32896630748448,68.24756016592609,67.64381627717759,68.02959990486514,67.76254080671495,70.0292997826626,57.49285095763726,58.5523127679365,59.18928014948123,58.23988290880766,57.861554475065795,56.916425018642606,57.48889737786026,57.82374142119581,57.080981452863114,59.54265541013906,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
bab,-10,66.15430520802248,68.61665490606785,66.54192650106205,65.96540306592834,68.34540410198095,69.7608466378898,68.49046738345554,69.59179367292148,67.92291781309133,68.02028230879577,57.63064616175835,57.39441901426693,58.05896342909318,58.853035142964494,57.45603422567584,60.15782808747519,58.08610891099966,57.9681419607799,56.139533358720456,58.11261417279865,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
bac,-10,67.59416145456079,68.75701499261396,67.23922397071938,69.31792247338421,67.22678593678795,68.97259638929312,67.19253456967576,67.94631032851629,66.75435959032886,68.09535631168254,57.89231033077893,56.22430775903904,58.70336145301403,57.67358034981759,59.55991991793784,57.09949446275584,59.116187637577035,59.0560273951636,57.119201563397475,57.82525840730346,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
bad,-10,68.78887027565614,67.85437332920246,67.3758955784898,68.72822574832091,65.93699561533396,67.74363484122892,67.91575773373218,67.32332303164941,70.47293637025156,69.14446968081847,57.00074511230244,58.11547533211002,60.52786633888232,59.78620023913364,58.093595437652596,56.04932560058619,57.489625519582866,56.54315268855117,57.764487253895815,57.39554997463871,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
bae,-10,69.22664997223613,68.33082507412476,64.89315646173311,67.48717827312556,68.48820085782913,68.13428700418721,67.51793332362668,68.01929288152516,67.39659508986564,67.70751234665488,58.66562580206925,58.20397781060257,59.11821722441545,58.78963137953022,58.13155689865013,58.45207678802702,59.641360873391314,56.79063440648796,59.5089073367154,58.35602668368927,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
baf,-10,69.44531365544083,69.31349573216438,68.01758277687452,68.34964063132587,67.95734364051232,67.00257977891918,67.614599785955,67.45206561346481,68.20686222661145,68.3064378905905,57.18408571904947,58.029040386830864,57.39358551696368,59.06314381901514,57.89992965916858,59.47969062697829,58.72321025771864,56.35790298182569,58.413484592946965,55.58494365795735,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
bag,-10,68.45345399000884,68.54265025379738,68.26293785101947,68.00615211183269,67.26245499322702,68.05129048463358,67.20988094536249,68.30694546389473,67.41493414842385,69.84565078638042,58.006739798551905,57.24365936823948,58.66479975147454,60.42257159921164,58.23030087826229,59.58326588785114,56.95998559557744,57.70913737189746,56.45757374649097,57.5923184057288,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
bah,-10,68.27129960268725,67.3586846050995,69.41921991892247,67.23921300986123,67.51828761635677,68.21552890403183,67.70621425963851,68.16459605897299,68.3570292529011,67.60989586039703,58.791733754986886,57.103654562435935,58.40530618519078,59.27807873827164,58.66591613645955,58.98331463346669,58.109311952675704,55.787204329747645,57.533307703426935,57.746600326173564,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
bai,-10,66.35980684289049,67.85626985497933,69.89507452684805,68.1524255527297,69.96076024421878,67.52521358709221,67.53331277551334,68.16146524722934,67.62568749472001,68.06186067803606,59.320594530649814,56.930321341052256,57.38679648002001,57.37520650885026,57.871411364830045,57.620552299992745,57.393200776126974,59.13404550910634,59.76805946930143,57.062519438402575,70,44100,"[2000, 20000]",1,1,10000,True,10,1,False
