filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
aaa,-70,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baa,-8,65.28544917653727,61.21949234576261,63.72155313634978,60.97572793274965,61.08378008738311,60.92357269026816,62.16862882977918,62.11821854796197,61.284575551389615,61.419246972621565,59.86673271411074,65.28544917653727,69.0227680793748,69.86045622807453,67.16549257058591,68.56641785818695,69.7987020403016,69.13699198127345,69.89267401905151,68.09130746711975,68.86429450050505,69.27479009612259,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bab,-8,65.35743692951786,61.38635569623638,62.46871529160256,61.52022970613514,61.84505985823432,63.25603728177805,60.449596798369384,59.909747342972885,62.12821655844192,60.78092125941642,62.7384011724375,65.35743692951786,69.1876213610656,70.3884145048939,69.8038055011351,70.08955767229769,70.52333888501227,68.92201212013364,68.81432587457968,68.53230914041569,68.91547454178463,69.33618396898115,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bac,-8,65.25765139036993,60.077730103791396,60.278748656587126,61.927542812942676,61.557017981644826,59.727345797065624,59.869989189561714,60.88560604813439,61.508346720923946,61.281257155399445,62.08761002254331,65.25765139036993,71.21218542175349,70.44665034976504,68.13804630260225,69.58420124133367,70.86785185192515,70.7500170961123,69.66245022193544,68.67113873491758,68.62076403071798,68.54734757009051,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bad,-8,65.34134862524706,62.389448128101385,61.99857184647883,61.199350621672245,62.06749122884801,61.75481614975029,61.40235561338675,62.161319737414665,61.23405202675405,60.903983827375626,62.728051963733826,65.34134862524706,69.12264761717604,68.97585197210077,69.17081603691834,69.70125097191591,70.25464785289739,69.46464719170274,69.06062778978455,69.60017836872592,69.6233177179927,69.2321676378237,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bae,-8,65.61729054683555,62.84522995699325,63.25963060058145,59.30672625823395,62.83678231550761,60.70187539545145,62.909642895381026,59.569035486155556,59.96320329710575,59.7811672714828,59.78685750028095,65.61729054683555,68.93675921984371,69.94661677408494,69.44168231877184,70.24394840340567,68.4371239004084,68.38624357288442,69.71843930191746,69.29687901357673,69.7422786652128,71.5611691592016,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baf,-8,64.96111773229993,59.64252960863534,59.64431229491416,61.476583538568235,61.44708124294006,61.76093114846868,61.891117961680926,60.59046725361645,62.957482486733184,60.25680624425754,63.169434112603085,64.96111773229993,68.38370413626195,67.63854951653859,68.63880213260359,69.31703693320502,68.96972969680856,70.9994051357262,69.5040585763771,67.39966638844861,70.06510108697077,70.57413778239479,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bag,-8,65.09135052026886,60.38179842067936,60.78759739992807,60.12999451742274,60.00661704249806,61.743258911410955,62.38500209051159,61.59481800080006,61.869970384056934,61.0726194941805,60.974361995912375,65.09135052026886,69.94266282212244,70.47036843790508,70.40979562467825,67.9463129568549,71.2099436995205,69.69657786842893,69.59746898459328,69.91474628181058,70.27687899291136,69.38191526260546,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bah,-8,65.05612713790937,62.25467128382877,63.27696025817042,60.063755381152355,62.39101425478698,59.20355134000505,59.67118924117368,61.683727693336294,60.289235571184655,61.484436875012506,61.464436381526866,65.05612713790937,68.65038892832605,70.40606590991031,69.05772008472202,69.06685079007384,69.4978686957401,68.32625683412537,70.52958163750235,70.80035352096336,69.03707918734067,68.70649759336,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bai,-8,65.27099724178413,60.95280294323099,60.29565395122614,61.76682484594531,62.74778839570264,59.95325945355375,62.473530928396926,60.561581381796294,59.993862593430066,61.647054249453554,62.11448977487151,65.27099724178413,68.91694085910933,69.6007943109678,68.5657499591902,70.12332845317661,68.96040398311548,70.45996548507249,68.92337111861889,68.86269784103024,68.06750857139532,69.28492092722117,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
