Date,332,333,337
2022-05-15,saline,saline,saline
2022-05-16,rest,MK801,rest
2022-05-17,rest,rest,saline
2022-05-18,rest,saline,rest
2022-05-19,saline,rest,saline
2022-05-20,saline,MK801,MK801
2022-05-21,MK801,saline,saline
2022-05-22,rest,rest,rest
2022-05-23,saline,saline,saline
2022-05-24,MK801,MK801,MK801
2022-05-25,saline,saline,saline
2022-05-26,rest,rest,rest
2022-05-27,rest,rest,rest
2022-05-30,rest,rest,rest
2022-05-31,saline,saline,saline
2022-06-01,saline,saline,MK801
2022-06-02,MK801,MK801,saline
2022-06-03,saline,saline,rest
