Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,P,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,RespWin,ITI,WarmUp,RecoveryMode,Drug
0,0,,1,0,0,0.0,1.0,,0.0,,1,0.320128,4.8271180000000005,4.506989999999999,2.8182,3.507,0.6887999999999996,3.0794,3.2363,0.15689999999999982,aaa,aaa,1,,0,1,0,1,-70.0,,"[3.2363, 3.3697000000000004, 3.4888000000000003, 3.617]","[3.2791, 3.4031, 3.5342, 3.6662]",[0.77],[0.8377],20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
1,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,4.854528,9.377818,4.5232899999999985,2.8182,3.5233000000000003,0.7051000000000003,3.0794,3.2526,0.17320000000000002,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.2526, 3.3938, 3.531, 3.6894, 3.8223, 3.9712, 4.1241, 4.2974000000000006]","[3.3037, 3.4266, 3.5647, 3.7165, 3.8612, 4.0168, 4.1664, 4.3432]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
2,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,9.416428,13.949418,4.53299,2.8182,3.5330000000000004,0.7148000000000003,3.0794,3.2623,0.18290000000000006,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.2623, 3.4168000000000003, 3.5529, 3.7018, 3.8185, 4.0174, 4.0179]","[3.3083, 3.4431000000000003, 3.591, 3.7337, 3.8736, 4.0176, 4.033]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
3,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,14.008128,18.573618,4.5654900000000005,2.8182,3.5655,0.7473000000000001,3.0794,3.2948,0.2153999999999998,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.2948, 3.4246000000000003, 3.5631000000000004, 3.7178, 3.8099, 3.8253, 3.9827, 4.0018]","[3.3245, 3.4516, 3.5860000000000003, 3.7301, 3.8137, 3.8706, 3.9936, 4.0039]","[4.4546, 4.4666000000000015]","[4.4594000000000005, 4.4743]",20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
4,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,18.590628,23.085218,4.494590000000001,2.8207,3.4946,0.6739000000000002,3.0801000000000003,3.2257,0.14559999999999995,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[2.8096],[2.8110000000000004],"[2.3366, 3.2257, 3.3637, 3.5026, 3.6183, 3.7579]","[2.3509, 3.2729000000000004, 3.3953, 3.5334000000000003, 3.6725, 3.8147]",20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
5,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,23.163228,27.688418,4.525189999999999,2.8207,3.5252000000000003,0.7045000000000003,3.0801000000000003,3.2563,0.1761999999999997,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[3.2563, 3.3779000000000003, 3.5209, 3.6344, 3.7585, 3.9188, 4.4302]","[3.2966, 3.4231000000000003, 3.5484, 3.674, 3.8102, 3.9547, 4.4738]",20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
6,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,27.712028000000004,32.175718,4.463690000000003,2.8207,3.4637,0.6429999999999998,3.0801000000000003,3.1948000000000003,0.11470000000000002,iaa,iaa,1,,0,0,1,1,70.0,70.0,[0.2771],[0.2907],"[0.0386, 3.1948000000000003, 3.1958, 3.1981, 3.3303000000000003, 3.4507000000000003, 3.5821, 3.699, 4.0395, 4.1409]","[0.0974, 3.1951, 3.1969000000000003, 3.2429, 3.3745000000000003, 3.4972000000000003, 3.6207, 3.7483, 4.0478000000000005, 4.1939]",20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
7,0,0.0,1,0,0,0.0,1.0,1.0,0.0,0.0,1,32.190828,36.676118,4.485289999999999,2.8182,3.4853,0.6671,3.0794,3.2146000000000003,0.1352000000000002,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.8562000000000001, 3.2146000000000003, 3.3299000000000003, 3.4702, 3.6114, 3.7339]","[0.8599, 3.2477, 3.3738, 3.5099, 3.6531, 3.7937]","[1.2708000000000002, 1.6769999999999998, 1.7076]","[1.2836, 1.6918, 1.7222000000000002]",20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
8,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,36.695928,41.223918,4.527989999999996,2.8182,3.528,0.7098,3.0794,3.2573000000000003,0.17790000000000014,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.2573000000000003, 3.3922000000000003, 3.5490000000000004, 3.6943, 3.8206, 4.1676, 4.1749, 4.1763, 4.1851, 4.1865000000000006]","[3.302, 3.4286000000000003, 3.5846, 3.7369, 3.8751, 4.1743000000000015, 4.1752, 4.1802, 4.1852, 4.1944]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
9,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,41.26622800000001,45.886318,4.620090000000005,2.8182,3.6201,0.8018999999999998,3.0794,3.3494,0.27,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3494, 3.5092000000000003, 3.6737, 3.8451, 4.0053, 4.1179000000000014, 4.2998, 4.3349]","[3.3537000000000003, 3.5199000000000003, 3.685, 3.8493, 4.0123, 4.168, 4.3247, 4.3381]",[2.5492],[2.5753],20,1.0,0.0,0.0,1,0,1,0,0,0.0,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,337,36001,337,1.6.2,337_stage_training_v2_20220211-120001,2022-02-11,12:00:11.690954,12:23:50.785040,,,,,
