Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,StimDur,Delay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,AWTrials,BlockLen
0,0,,1,0,0,0,1.0,,0.0,,1,0.308128,5.468418,5.16029,2.8181000000000003,4.1602000000000015,1.3421000000000012,3.8288,4.1400000000000015,0.3112000000000004,aaa,aaa,1,|no track found in load,1,0,0,0,-70.0,,"[0.4499, 4.1400000000000015]",[1.0772000000000002],"[0.3842, 0.3844, 4.1934000000000005]","[0.3843, 4.1819000000000015]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
1,1,0.0,1,0,0,1,0.0,1.0,1.0,0.0,1,5.475628,13.707818,8.23219,2.8206,7.2321,4.4115,3.8301,4.0249000000000015,0.1948000000000003,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.6097, 0.6939000000000001, 0.8918, 1.0535, 1.2021000000000002, 2.8918, 3.055, 3.2998000000000003, 3.4726000000000004, 3.6562, 4.0249000000000015, 4.3755000000000015, 4.4618, 4.524, 4.7181000000000015, 5.2568, 5.2667, 5.5273, 5.5299000000000005, 5.5388, 5.5392, 5.5398000000000005, 5.5573000000000015, 5.5581000000000005, 5.5601, 5.5665, 5.5673, 5.568300000000002, 5.5689, 5.5703000000000005, 7.122800000000002, 7.2057]","[0.5494, 0.6475000000000001, 0.8004, 0.9854, 1.1720000000000002, 2.8064, 2.9843, 3.1801000000000004, 3.318, 3.6210000000000004, 3.822, 4.0813000000000015, 4.4362, 4.4842, 4.6998000000000015, 5.25, 5.2663, 5.2684000000000015, 5.5293, 5.534000000000002, 5.5389, 5.5395, 5.5489999999999995, 5.5578, 5.5599, 5.5658, 5.5668000000000015, 5.5674, 5.5684000000000005, 5.5698, 5.5743, 7.1524]","[0.5706, 1.2069, 1.5532, 1.9214, 2.0739, 2.1422, 2.2243, 2.7636000000000003, 2.8556, 3.3792, 7.213100000000002, 7.215400000000002]","[0.5523, 1.1666, 1.5462, 1.9049, 2.0545, 2.1034, 2.2217, 2.7383, 2.8104, 3.3426, 7.168900000000002, 7.2133, 8.139100000000001]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
2,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,13.718128,24.185018,10.46689,2.8181000000000003,9.4668,6.648699999999999,3.8288,9.4466,5.6178,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.4187000000000003, 9.4466, 9.8122, 9.8467, 9.9565, 10.0843, 10.2921, 10.4381]","[0.0234, 9.4427, 9.8039, 9.8158, 9.9303, 10.0293, 10.2193, 10.362]","[3.4236, 10.42]",[10.3914],0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
3,1,0.0,1,0,0,1,0.0,1.0,1.0,0.0,1,24.191628,29.497318,5.305689999999999,2.8206,4.3056,1.485,3.8301,4.135,0.3048999999999995,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.4539, 4.135, 4.2803]","[0.0594, 4.1186, 4.234]","[3.4444000000000004, 4.2866, 4.2877, 4.4363]","[0.0436, 4.2345000000000015, 4.2868, 4.4044]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
4,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,29.505628,34.556018,5.05039,2.8181000000000003,4.0503,1.2321999999999995,3.8288,4.0301,0.2012999999999998,aaa,aaa,1,,0,0,0,0,-70.0,-70.0,"[3.4233, 3.4821, 4.0301]","[0.0077, 3.4642, 3.9921]","[0.0726, 0.0872, 3.4045]","[0.0458, 0.0748, 0.0881, 4.2174000000000005]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
5,1,0.0,1,0,0,1,0.0,1.0,1.0,0.0,1,34.562228000000005,41.751318,7.1890899999999975,2.8206,6.189,3.3684,3.8301,5.7075000000000005,1.8774,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.4829000000000003, 5.7075000000000005, 5.9397, 6.1697000000000015, 6.2846, 6.3815, 6.7145, 6.7637, 6.836600000000002, 6.8577, 6.8717000000000015, 6.9821, 7.0868]","[0.0104, 5.691, 5.931100000000002, 6.1578, 6.2486000000000015, 6.3773, 6.6801, 6.7570000000000014, 6.7831, 6.8547, 6.8632, 6.9141, 7.0544, 7.1839]","[3.471, 6.17, 6.1739999999999995, 6.8396, 6.9746000000000015, 7.0933]","[6.1615, 6.1702, 6.7965, 6.932600000000001, 7.0516000000000005, 7.1739999999999995]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
6,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,41.795628,46.651618,4.855989999999999,2.8181000000000003,3.8559,1.0377999999999998,3.8288,3.8357,0.006899999999999906,aaa,aaa,1,,0,0,0,0,-70.0,-70.0,"[0.1218, 0.27899999999999997, 0.3768, 0.4624, 0.4912, 0.63, 0.7599, 0.9159999999999999, 1.3859, 2.1432, 2.1624000000000003, 2.3711, 2.4505, 2.5364, 2.9192, 3.1797, 3.3535000000000004, 3.3666, 3.568, 3.7308, 3.7678, 3.8357, 3.8838, 4.2393, 4.2962, 4.8471]","[0.0658, 0.2102, 0.33530000000000004, 0.4559, 0.485, 0.5846, 0.7177, 0.8672000000000001, 1.3294, 2.1164, 2.1535, 2.2978, 2.3788, 2.468, 2.6647000000000003, 2.9423000000000004, 3.3504, 3.3655000000000004, 3.5585, 3.6568, 3.7441, 3.8213, 3.8702, 3.8932, 4.2405, 4.8372]","[0.092, 0.1078, 0.27690000000000003, 0.6346, 0.7496, 1.3698, 2.1692, 2.1696, 2.3462, 2.4796, 2.5173, 2.912, 3.0193000000000003, 3.1853, 4.3079, 4.6498]","[0.06330000000000001, 0.1013, 0.203, 0.611, 0.7393000000000001, 1.3588, 2.1095, 2.1695, 2.2998000000000003, 2.4712, 2.5133, 2.6633, 2.9490000000000003, 3.1076, 3.9287, 4.6098, 4.8023]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
7,1,0.0,1,0,0,1,0.0,1.0,1.0,0.0,1,46.658828,51.620818,4.96199,2.8206,3.9619,1.1412999999999998,3.8301,3.8493,0.019200000000000102,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.0074, 2.9326000000000003, 3.0211, 3.3379000000000003, 3.3648, 3.5885, 3.7068, 3.8493, 3.9504, 4.056, 4.2472, 4.2624, 4.372, 4.474, 4.5753]","[0.004200000000000001, 0.7498, 3.0012000000000003, 3.3346, 3.3456, 3.5528, 3.6676, 3.7827, 3.9023, 4.022, 4.238, 4.2505000000000015, 4.3199000000000005, 4.4181, 4.5243]","[2.9696, 3.0475000000000003, 3.6989, 3.8295, 3.9429, 3.9449, 4.4405, 4.441, 4.4545, 4.4551, 4.4556, 4.4562, 4.4564, 4.4568, 4.4572, 4.4597, 4.4599, 4.4612]","[2.9863, 3.6844, 3.7763, 3.8945, 3.9431, 4.4385, 4.4407000000000005, 4.4455, 4.4546, 4.4552000000000005, 4.4557, 4.4563000000000015, 4.4565, 4.4571000000000005, 4.4594000000000005, 4.4598, 4.461]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
8,0,0.0,1,0,0,1,0.0,0.0,0.0,0.0,1,51.628728,60.00481800000001,8.376089999999998,2.8181000000000003,7.376,4.5579,3.8288,7.3522000000000025,3.5234000000000005,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.6753, 0.7767000000000001, 0.9114, 1.0470000000000002, 1.1872, 1.9942, 2.1043000000000003, 2.1374, 3.0017, 3.1202, 3.1750000000000003, 7.3558, 7.453200000000002, 7.5497, 7.6648, 7.8021, 7.955100000000002, 8.0869, 8.3696]","[0.026, 0.7008, 0.8395, 0.9665, 1.1012, 1.2424, 2.0072, 2.1231, 2.1776, 3.0203, 3.1408, 3.2061, 7.4049, 7.4968, 7.6024, 7.715400000000002, 7.849500000000001, 8.007, 8.134]","[0.0323, 0.2108, 0.3547, 1.6451, 1.7737, 1.8081, 7.352200000000002, 7.368200000000001, 7.4379, 7.5316, 7.7976, 7.9432, 8.081900000000001, 8.1734, 8.3065, 8.3645]","[0.027999999999999997, 0.033800000000000004, 0.2651, 0.4098, 1.6854, 1.8026, 1.8398, 7.3559, 7.3807, 7.4962, 7.5873, 7.8013, 7.9517000000000015, 8.087, 8.2603, 8.3244]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
9,1,0.0,1,0,0,1,0.0,0.0,1.0,0.0,1,60.011428,65.96831800000001,5.956889999999994,2.8206,4.9568,2.1362,3.8301,3.9886,0.15850000000000009,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.4565, 3.6901, 3.8019, 3.9886, 4.8159, 4.9353, 5.0534, 5.1769]","[0.0188, 3.6719999999999997, 3.7967, 3.9383, 4.7986, 4.9071, 5.0332, 5.1557]","[3.4504, 3.8102, 4.9378, 4.9391]","[0.0183, 3.8026, 4.9127, 4.9380000000000015]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
