Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,StimDur,Delay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,AWTrials,BlockLen,Task,VarDelay
0,0,,1,0,0,0,1.0,,0.0,,1,0.311328,5.498418,5.18709,2.8181000000000003,4.187,1.3689,3.8276,4.168,0.3403999999999998,aaa,aaa,1,|no track found in load,1,1,0,1,-70.0,,"[0.0687, 2.1885, 4.168, 4.3999000000000015, 4.5269, 4.9547, 5.1024]","[0.1365, 2.2807, 4.2188, 4.412, 4.5842, 4.9716000000000005, 5.1715]",[],[],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
1,1,0.0,0,0,0,1,0.0,1.0,0.0,1.0,1,5.5053279999999996,24.906118,19.40079,2.8206,18.4007,15.5801,3.8304,8.3912,4.5608,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[8.3912, 12.3478, 15.1686, 15.5781]","[8.4457, 12.3989, 15.2228, 15.6333]",[],[],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
2,0,1.0,1,0,0,0,1.0,0.0,0.0,1.0,1,24.918328,29.853818,4.9354900000000015,2.8181000000000003,3.9354,1.1172999999999995,3.8276,3.9164,0.08879999999999999,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.9164, 3.9175, 4.0741000000000005, 4.1549000000000005, 4.371, 4.4849000000000006, 4.5955, 4.7217]","[3.9166, 3.9905, 4.0829, 4.1845, 4.4057, 4.5221, 4.6387, 4.766100000000002]",[],[],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
3,1,0.0,1,0,0,1,0.0,1.0,1.0,0.0,1,29.860628000000002,38.554918,8.694290000000002,2.8206,7.6942,4.8736,3.8304,3.9656,0.1352000000000002,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.6803, 3.8066, 3.9656, 4.1291, 4.2849, 4.4374, 4.5141, 4.6764, 4.7805, 4.9552000000000005, 5.423100000000002, 5.566, 6.0877, 6.487500000000002, 6.6585, 7.2223000000000015]","[3.7167, 3.8743, 4.0322000000000005, 4.1797, 4.3246, 4.4947, 4.5182, 4.6898, 4.843, 5.0118, 5.4764, 5.6239, 6.142600000000002, 6.5495, 6.7237, 7.2823]","[7.6749, 7.6751, 7.6763]","[7.675000000000002, 7.6752, 7.6985]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
4,0,0.0,1,0,0,1,0.0,0.0,0.0,0.0,1,38.564528,44.266418,5.701889999999999,2.8181000000000003,4.7018,1.8837,3.8276,4.5733000000000015,0.7457000000000003,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.6664, 4.6828, 4.8172000000000015, 4.9205000000000005, 5.0387, 5.1602000000000015, 5.2939]","[3.7151, 4.7348, 4.8521, 4.9652, 5.0844000000000005, 5.215, 5.3477000000000015]","[4.5733000000000015, 4.5861, 5.627999999999999]","[4.5764000000000005, 4.5915, 5.6344]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
5,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,44.27372800000001,49.311718,5.0379900000000015,2.8206,4.0379000000000005,1.2173000000000005,3.8304,4.0186,0.18820000000000006,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[4.7214],[4.7367],"[4.0186, 4.1160000000000005, 4.2444000000000015, 4.3427, 4.4548000000000005, 4.5752000000000015, 4.8259, 4.9464000000000015]","[4.0445, 4.1544, 4.2658000000000005, 4.3788, 4.496, 4.6148, 4.8771, 5.0003]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
6,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,49.34732800000001,54.26201800000001,4.91469,2.8181000000000003,3.9146,1.0964999999999998,3.8276,3.8956,0.06800000000000006,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.8956, 3.897, 3.9226, 4.0230000000000015, 4.1236000000000015, 4.2304, 4.3421, 4.4541, 4.5681, 4.6862]","[3.8958, 3.9212, 3.9492, 4.0575, 4.1598000000000015, 4.2649, 4.3791, 4.4942, 4.6089, 4.7296000000000005]",[],[],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
7,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,54.268628,59.27341800000001,5.00479,2.8206,4.0047000000000015,1.1841000000000013,3.8304,3.9854,0.15500000000000025,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.6784, 4.4347, 4.5440000000000005, 4.6467]","[3.7109, 4.4555, 4.5744, 4.694]","[3.9854, 4.0676000000000005, 4.1814, 4.2976, 4.8093, 4.9176]","[3.9894, 4.1106, 4.2265000000000015, 4.3413, 4.8446, 4.9782]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
8,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,59.280028,64.40371800000001,5.123689999999995,2.8181000000000003,4.1236000000000015,1.3055000000000012,3.8276,4.0242,0.1966000000000001,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.6718, 4.1046000000000005, 4.2357000000000005, 4.3357, 4.4448, 4.5553, 4.6792, 4.7842, 4.9039, 5.0602]","[3.7146, 4.1641, 4.2687, 4.3735, 4.4846, 4.596, 4.7153, 4.8297, 4.9526, 5.0744]",[4.0242],[4.0265],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
9,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,64.410428,69.412918,5.002490000000009,2.8206,4.0024000000000015,1.1818000000000013,3.8304,3.9831,0.15270000000000028,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.6696, 4.5489999999999995]","[3.7127, 4.5681]","[3.9831, 3.9846, 4.0829, 4.1868, 4.3019, 4.6400000000000015, 4.7570000000000014, 4.8813]","[3.9836, 3.9954, 4.1199, 4.2309, 4.3446, 4.6882, 4.8079, 4.9294]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
10,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,69.42022800000001,74.369618,4.949390000000008,2.8181000000000003,3.9493,1.1311999999999998,3.8276,3.9303,0.1027,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.0123, 3.6627, 3.9303, 4.0631, 4.1722, 4.2976, 4.3108, 4.4161, 4.5409000000000015, 4.7052000000000005]","[0.0283, 3.7022, 3.9963, 4.1088000000000005, 4.2247, 4.3014, 4.3466000000000005, 4.4658000000000015, 4.5924000000000005, 4.726]","[4.8264000000000005, 4.9419]",[4.8642],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
11,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,74.376228,79.381718,5.005490000000009,2.8206,4.0054,1.1847999999999996,3.8304,3.9861,0.15569999999999995,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.6787, 4.6748, 4.7700000000000005]","[3.7177, 4.6926000000000005, 4.8131]","[3.9861, 4.0617, 4.1985, 4.2961, 4.4143, 4.5331, 4.8953000000000015]","[0.003, 3.9913, 4.1095000000000015, 4.2239, 4.3378000000000005, 4.458, 4.5767000000000015, 4.9469]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
12,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,79.38852800000002,84.334418,4.945890000000006,2.8181000000000003,3.9458,1.1277,3.8276,3.9268,0.09919999999999972,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.6854, 3.8002, 3.9268, 4.0333000000000006, 4.1435, 4.2816, 4.38, 4.5018, 4.6561]","[3.73, 3.8605, 3.9711, 4.0771000000000015, 4.1918000000000015, 4.3102, 4.4314, 4.5548, 4.6819999999999995]",[0.0015],[0.015700000000000002],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
13,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,84.341228,89.372318,5.031090000000006,2.8206,4.0310000000000015,1.2104000000000013,3.8304,4.0117,0.18130000000000024,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.6727, 4.4782, 4.5698, 4.5765, 4.9615]","[3.7145, 4.4931, 4.573, 4.6161, 4.9958]","[4.0117, 4.1160000000000005, 4.2234, 4.3282, 4.6911000000000005, 4.815]","[4.0128, 4.1359, 4.2532000000000005, 4.3752, 4.7455, 4.8669]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
14,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,89.380728,94.512118,5.131389999999996,2.8181000000000003,4.1313,1.3132,3.8276,3.9404,0.1128,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.6693, 4.1123, 4.1143, 4.2127, 4.3181, 4.4319999999999995, 4.5507, 4.6778, 4.7822000000000005, 4.9024, 5.0785]","[3.7163, 4.1125, 4.1445, 4.2529, 4.3594, 4.4750000000000005, 4.5935000000000015, 4.7093, 4.8269, 4.9567000000000005, 5.0855000000000015]",[3.9404],[3.9429],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
15,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,94.519728,99.535418,5.0156900000000055,2.8206,4.0156,1.1949999999999998,3.8304,3.9963,0.16590000000000016,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.6808, 4.541, 4.928999999999999]","[3.7191, 4.5736, 4.9452]","[3.9963, 4.0683, 4.1842000000000015, 4.2951000000000015, 4.6546, 4.7700000000000005]","[3.9998, 4.1134, 4.2245, 4.3421, 4.7029000000000005, 4.8221]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
16,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,99.54432800000001,104.54491800000001,5.0005900000000025,2.8181000000000003,4.0005000000000015,1.1824000000000012,3.8276,3.9815,0.1538999999999997,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.017, 3.9815, 4.1008, 4.2068, 4.3189, 4.4335, 4.5531000000000015, 4.6876000000000015, 4.8306]","[0.0046, 0.0448, 4.0346, 4.1405, 4.2485, 4.3628, 4.4791, 4.5950000000000015, 4.7143000000000015, 4.836]",[],[],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
17,1,0.0,1,0,0,1,0.0,1.0,1.0,0.0,1,104.551928,109.723818,5.171889999999991,2.8206,4.1718,1.3512,3.8304,3.8516,0.02120000000000033,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.6161, 3.7269, 3.8516, 4.4059, 4.53, 4.8900000000000015, 4.9861, 5.1195]","[3.6314, 3.7827, 3.8743, 4.4244, 4.5382, 4.9144000000000005, 5.0441]","[4.1525, 4.1859, 4.6108, 4.7639000000000005]","[4.1535, 4.2034, 4.6651, 4.787]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
18,0,0.0,1,0,0,1,0.0,0.0,0.0,0.0,1,109.73142800000001,115.24681799999999,5.515390000000012,2.8181000000000003,4.5153,1.6971999999999996,3.8276,3.9754,0.1477999999999997,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.6962, 4.4963000000000015, 4.4969, 4.5916000000000015, 4.7042, 4.8179, 4.9339, 5.0666, 5.1756, 5.2919, 5.4424]","[3.7492, 4.4966, 4.525, 4.629, 4.7455, 4.8605, 4.9763, 5.1001, 5.2208000000000006, 5.3443000000000005, 5.4723000000000015]","[3.9754, 4.0099, 4.1033, 4.2301, 4.3466000000000005]","[3.9858, 4.0224, 4.1508, 4.2756, 4.3998]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
19,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,115.25452800000001,120.16631799999999,4.9117900000000105,2.8206,3.9117,1.0911,3.8304,3.8924,0.06200000000000028,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[4.1332, 4.2113000000000005, 4.7328, 4.8581]","[4.1386, 4.2558, 4.748, 4.8757]","[3.8924, 3.991, 4.4513, 4.5721]","[3.924, 4.0322000000000005, 4.5014, 4.6241]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
20,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,120.173828,125.306618,5.13279,2.8181000000000003,4.1327,1.3145999999999995,3.8181,4.1137000000000015,0.2956000000000003,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.6821, 4.1137000000000015, 4.2411, 4.3454000000000015, 4.4653, 4.6023000000000005, 4.7066, 4.8316, 4.9699, 5.1317]","[3.7260000000000004, 4.166, 4.2775, 4.3958, 4.513999999999999, 4.6352, 4.756, 4.8839999999999995, 5.0192000000000005]",[],[],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
21,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,125.313328,130.215518,4.9021900000000045,2.8181000000000003,3.9021,1.0839999999999996,3.8181,3.8831,0.06499999999999995,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.6115, 3.7986, 3.8831, 4.0108000000000015, 4.1176, 4.2375, 4.3546000000000005, 4.4774, 4.6027000000000005, 4.7323]","[0.0108, 3.6422, 3.8065, 3.9419, 4.0537, 4.1658, 4.2859, 4.402, 4.5289, 4.6561, 4.7837000000000005]",[],[],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
22,0,1.0,0,1,0,0,0.0,1.0,1.0,0.0,1,130.22182800000002,137.169918,6.9480900000000085,2.8181000000000003,3.9385,1.1203999999999996,3.8181,3.9384,0.12029999999999985,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.605, 4.045, 4.9769000000000005, 5.4784000000000015]","[3.6412, 4.0877, 5.0386000000000015, 5.5440000000000005]","[3.9384, 4.2094000000000005, 6.0581000000000005]","[3.9425, 4.2274, 6.064]",0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
23,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,137.177628,146.105718,8.928089999999997,2.8181000000000003,7.928,5.1099,3.8181,7.909000000000002,4.0909,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.5265, 7.909000000000002, 7.9098000000000015, 8.0306, 8.1311, 8.2398, 8.3742, 8.5043, 8.6075, 8.731300000000001, 8.8594]","[3.5597000000000003, 7.9092, 7.9591, 8.063500000000001, 8.1715, 8.2817, 8.4032, 8.529, 8.6518, 8.777800000000001, 8.9114]",[],[],0.0095,0.0098,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM37,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod7,820,36002,820,1.6.2,820_stage_training_v4_20230306-153135,2023-03-06,15:31:47.192921,16:02:15.672821,,,,
