Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,,1,0,0,0,1.0,,0.0,,1,0.337012,4.428415,4.0914030000000015,2.8181000000000003,3.0913,0.2731999999999997,3.075,3.0817,0.006699999999999928,aaa,aaa,1,,0,1,0,1,-70.0,,"[0.2218, 0.4241, 0.8808, 1.8885, 2.5457, 3.0817, 3.0820000000000003, 3.0962]","[0.3761000000000001, 0.5077, 0.9577, 2.1488, 2.5833, 3.0819, 3.0918, 3.1087]","[0.0594, 0.2044, 0.3166, 0.4213, 2.1991, 2.5142, 2.8064, 2.9473000000000003, 2.9505000000000003, 2.9518, 2.9583, 2.9622, 2.9682, 2.9770000000000003, 2.9825, 2.9901, 3.0547, 3.0664, 3.0667, 3.0819, 3.0839999999999996, 3.0874, 3.0876]","[0.041100000000000005, 0.1103, 0.2388, 0.34500000000000003, 2.1898, 2.2026, 2.795, 2.9462, 2.9474, 2.9507000000000003, 2.9538, 2.9612000000000003, 2.9671000000000003, 2.9696, 2.9803, 2.9856000000000003, 2.9924, 3.0608, 3.0665, 3.0812, 3.0827, 3.0869999999999997, 3.0875000000000004, 3.0911]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
1,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,4.443112,8.533114999999999,4.090003,2.8206,3.0899,0.2692999999999999,3.0789999999999997,3.0803000000000003,0.0013000000000000787,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[3.0803000000000003, 3.0806, 3.3725, 3.3897000000000004, 3.4471000000000003, 3.6249, 3.7542, 3.7557, 3.7858, 3.7878, 3.7975, 3.8264, 3.8266, 3.9006, 3.9093, 3.9106, 3.9111, 3.9124, 3.9186, 3.9362, 3.9372, 3.9453, 3.9496, 3.9532, 3.9601]","[3.0805, 3.1084, 3.3883, 3.4001, 3.5050000000000003, 3.6719999999999997, 3.7544, 3.7856, 3.786, 3.7945, 3.8261, 3.8265, 3.8712, 3.9007, 3.9105, 3.911, 3.9113, 3.9126, 3.9361, 3.9365, 3.9448, 3.9454, 3.953, 3.9533, 3.9623]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
2,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,8.549712,13.419715,4.8700030000000005,2.8181000000000003,3.8699,1.0517999999999996,3.075,3.3805,0.3054999999999999,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.8603, 3.8606, 4.0967, 4.1031, 4.1622, 4.1761, 4.2507, 4.2588, 4.2885, 4.2887, 4.2892, 4.3519000000000005, 4.4092]","[3.8605, 4.0966000000000005, 4.0971, 4.117, 4.1654, 4.1873000000000005, 4.2578000000000005, 4.2884, 4.2886000000000015, 4.2888, 4.3517, 4.352, 4.6418]","[3.3805, 3.4659, 3.5251, 3.5285, 3.5335, 3.5372000000000003, 3.5415, 3.6001000000000003, 3.6003000000000003, 3.6014000000000004, 3.6021, 3.635, 3.6583, 3.6742, 3.7294, 3.7302, 3.7527]","[3.389, 3.5248000000000004, 3.5275000000000003, 3.5323, 3.5336000000000003, 3.5378000000000003, 3.5991, 3.6002, 3.6011, 3.6016000000000004, 3.6023, 3.6567, 3.6735, 3.6846, 3.7301, 3.7526, 4.6461000000000015]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
3,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,13.436411999999999,17.526115,4.089703,2.8206,3.0896000000000003,0.2690000000000001,3.0789999999999997,3.08,0.00099999999999989,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[3.08, 3.0803000000000003, 3.8957, 3.9139, 3.9146, 3.9149, 3.9159, 3.9215, 3.9221, 3.9256, 3.9335, 3.9339999999999997, 3.9355, 3.9361, 3.9389999999999996, 3.9398, 3.9401, 3.9411, 3.9448, 3.9451, 3.9519, 3.9522, 3.9559, 3.9623]","[3.0802, 3.1093, 3.901, 3.9145, 3.9147, 3.915, 3.9214, 3.9216, 3.9222, 3.9324, 3.9338, 3.9354, 3.936, 3.9389, 3.9397, 3.9399, 3.9402, 3.9447, 3.945, 3.9518, 3.9521, 3.9524, 3.9621, 3.9627]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
4,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,17.541612,21.633915,4.092302999999999,2.8181000000000003,3.0922,0.2740999999999998,3.075,3.0826,0.007600000000000051,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.0826, 3.0829]","[3.0828, 3.0865]",[],[],0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
5,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,21.649511999999998,25.739214999999998,4.089703,2.8206,3.0896000000000003,0.2690000000000001,3.0789999999999997,3.08,0.00099999999999989,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[3.08, 3.3795, 3.3943000000000003, 3.3949000000000003]","[0.0001, 3.1065, 3.3821000000000003, 3.3947000000000003, 3.3966000000000003]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
6,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,25.791211999999998,29.884115,4.092903,2.8181000000000003,3.0928,0.2746999999999997,3.075,3.0832,0.008199999999999985,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.0832, 3.0835000000000004, 3.3847]","[3.0834, 3.0849, 3.3864]","[3.3807, 3.5224, 3.5740000000000003, 3.5742000000000003]","[3.3917, 3.5726, 3.5741, 3.5744]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
7,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,29.898912,33.989615,4.090703000000001,2.8206,3.0906,0.2699999999999996,3.0789999999999997,3.0810000000000004,0.00199999999999978,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[3.0810000000000004, 3.0813, 3.3815, 3.398]","[3.0812, 3.0885, 3.3926000000000003]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
8,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,34.003212,47.198515,13.195303000000004,2.8181000000000003,12.1952,9.3771,3.075,11.8489,8.773900000000001,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[12.1856, 12.1859, 12.2878]","[12.1858, 12.2085]","[11.8489, 12.0819, 12.2864, 13.0679]","[0.0048, 11.9657, 12.2525, 12.9686]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
9,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,47.216312,51.58821500000001,4.371902999999996,2.8206,3.3718000000000004,0.5512000000000001,3.0789999999999997,3.3622,0.2831999999999999,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[0.0992],"[1.2361, 1.824, 1.8251, 1.8286, 2.2914000000000003, 2.3487, 3.3622, 3.3625000000000003, 3.4219999999999997, 3.4225000000000003, 3.4243]","[1.8239, 1.8242, 1.8282, 1.9109, 2.3113, 2.8975, 3.3624, 3.4189000000000003, 3.4224, 3.4228, 3.4517]",0.0069,0.0084,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM33,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod3,876,36002,876,1.6.2,876_stage_training_v4_20230508-123019,2023-05-08,12:30:31.503687,13:26:07.776317
